,Actual,ARIMA Forecast
2021-12-29 00:00:00,332.638671875,
2021-12-30 00:00:00,330.0804138183594,
2021-12-31 00:00:00,327.16204833984375,
2022-01-03 00:00:00,325.6347351074219,
2022-01-04 00:00:00,320.0511169433594,
2022-01-05 00:00:00,307.7650451660156,
2022-01-06 00:00:00,305.33306884765625,
2022-01-07 00:00:00,305.48870849609375,
2022-01-10 00:00:00,305.71240234375,
2022-01-11 00:00:00,306.40313720703125,
2022-01-12 00:00:00,309.603515625,
2022-01-13 00:00:00,296.50030517578125,
2022-01-14 00:00:00,301.7532958984375,
2022-01-18 00:00:00,294.4088439941406,
2022-01-19 00:00:00,295.0703125,
2022-01-20 00:00:00,293.3874816894531,
2022-01-21 00:00:00,287.9691467285156,
2022-01-24 00:00:00,288.2998352050781,
2022-01-25 00:00:00,280.6344299316406,
2022-01-26 00:00:00,288.630615234375,
2022-01-27 00:00:00,291.6753845214844,
2022-01-28 00:00:00,299.8661193847656,
2022-01-31 00:00:00,302.5120544433594,
2022-02-01 00:00:00,300.3525085449219,
2022-02-02 00:00:00,304.92449951171875,
2022-02-03 00:00:00,293.0469665527344,
2022-02-04 00:00:00,297.6092529296875,
2022-02-07 00:00:00,292.7551574707031,
2022-02-08 00:00:00,296.266845703125,
2022-02-09 00:00:00,302.73577880859375,
2022-02-10 00:00:00,294.1462097167969,
2022-02-11 00:00:00,287.0060729980469,
2022-02-14 00:00:00,286.9672546386719,
2022-02-15 00:00:00,292.2882385253906,
2022-02-16 00:00:00,291.9470520019531,
2022-02-17 00:00:00,283.3982238769531,
2022-02-18 00:00:00,280.6688232421875,
2022-02-22 00:00:00,280.4641418457031,
2022-02-23 00:00:00,273.2019958496094,
2022-02-24 00:00:00,287.1608581542969,
2022-02-25 00:00:00,289.8122863769531,
2022-02-28 00:00:00,291.2549743652344,
2022-03-01 00:00:00,287.5118103027344,
2022-03-02 00:00:00,292.6197204589844,
2022-03-03 00:00:00,288.4573669433594,
2022-03-04 00:00:00,282.5502014160156,
2022-03-07 00:00:00,271.8763427734375,
2022-03-08 00:00:00,268.89349365234375,
2022-03-09 00:00:00,281.22442626953125,
2022-03-10 00:00:00,278.38787841796875,
2022-03-11 00:00:00,273.0069885253906,
2022-03-14 00:00:00,269.4685974121094,
2022-03-15 00:00:00,279.9085388183594,
2022-03-16 00:00:00,286.9659423828125,
2022-03-17 00:00:00,287.77496337890625,
2022-03-18 00:00:00,292.8536376953125,
2022-03-21 00:00:00,291.6156311035156,
2022-03-22 00:00:00,296.39202880859375,
2022-03-23 00:00:00,291.93731689453125,
2022-03-24 00:00:00,296.43109130859375,
2022-03-25 00:00:00,296.0216369628906,
2022-03-28 00:00:00,302.8646545410156,
2022-03-29 00:00:00,307.455810546875,
2022-03-30 00:00:00,305.94488525390625,
2022-03-31 00:00:00,300.5348815917969,
2022-04-01 00:00:00,301.61688232421875,
2022-04-04 00:00:00,307.0269470214844,
2022-04-05 00:00:00,303.0400695800781,
2022-04-06 00:00:00,291.9470520019531,
2022-04-07 00:00:00,293.7699279785156,
2022-04-08 00:00:00,289.4808654785156,
2022-04-11 00:00:00,278.0662536621094,
2022-04-12 00:00:00,274.94683837890625,
2022-04-13 00:00:00,280.3666687011719,
2022-04-14 00:00:00,272.7731018066406,
2022-04-18 00:00:00,273.4457092285156,
2022-04-19 00:00:00,278.1051940917969,
2022-04-20 00:00:00,279.13836669921875,
2022-04-21 00:00:00,273.72833251953125,
2022-04-22 00:00:00,267.119384765625,
2022-04-25 00:00:00,273.640625,
2022-04-26 00:00:00,263.4054260253906,
2022-04-27 00:00:00,276.07763671875,
2022-04-28 00:00:00,282.3258972167969,
2022-04-29 00:00:00,270.5213928222656,
2022-05-02 00:00:00,277.29608154296875,
2022-05-03 00:00:00,274.67388916015625,
2022-05-04 00:00:00,282.6671447753906,
2022-05-05 00:00:00,270.3556213378906,
2022-05-06 00:00:00,267.80169677734375,
2022-05-09 00:00:00,257.9077453613281,
2022-05-10 00:00:00,262.7035827636719,
2022-05-11 00:00:00,253.97927856445312,
2022-05-12 00:00:00,248.91046142578125,
2022-05-13 00:00:00,254.53492736816406,
2022-05-16 00:00:00,254.90538024902344,
2022-05-17 00:00:00,260.09124755859375,
2022-05-18 00:00:00,248.24935913085938,
2022-05-19 00:00:00,247.33090209960938,
2022-05-20 00:00:00,246.7642059326172,
2022-05-23 00:00:00,254.6685791015625,
2022-05-24 00:00:00,253.66220092773438,
2022-05-25 00:00:00,256.4956359863281,
2022-05-26 00:00:00,259.798095703125,
2022-05-27 00:00:00,266.96966552734375,
2022-05-31 00:00:00,265.63104248046875,
2022-06-01 00:00:00,266.16845703125,
2022-06-02 00:00:00,268.2789001464844,
2022-06-03 00:00:00,263.823486328125,
2022-06-06 00:00:00,262.58270263671875,
2022-06-07 00:00:00,266.2466735839844,
2022-06-08 00:00:00,264.2046203613281,
2022-06-09 00:00:00,258.71356201171875,
2022-06-10 00:00:00,247.18434143066406,
2022-06-13 00:00:00,236.7005615234375,
2022-06-14 00:00:00,238.87939453125,
2022-06-15 00:00:00,245.98255920410156,
2022-06-16 00:00:00,239.348388671875,
2022-06-17 00:00:00,241.96688842773438,
2022-06-21 00:00:00,247.91714477539062,
2022-06-22 00:00:00,247.3211212158203,
2022-06-23 00:00:00,252.91964721679688,
2022-06-24 00:00:00,261.5567932128906,
2022-06-27 00:00:00,258.8113098144531,
2022-06-28 00:00:00,250.59426879882812,
2022-06-29 00:00:00,254.2875518798828,
2022-06-30 00:00:00,250.93624877929688,
2022-07-01 00:00:00,253.62307739257812,
2022-07-05 00:00:00,256.81805419921875,
2022-07-06 00:00:00,260.1009826660156,
2022-07-07 00:00:00,262.2406921386719,
2022-07-08 00:00:00,261.51763916015625,
2022-07-11 00:00:00,258.4399719238281,
2022-07-12 00:00:00,247.84872436523438,
2022-07-13 00:00:00,246.9205322265625,
2022-07-14 00:00:00,248.24935913085938,
2022-07-15 00:00:00,250.8287353515625,
2022-07-18 00:00:00,248.41542053222656,
2022-07-19 00:00:00,253.57423400878906,
2022-07-20 00:00:00,256.2513732910156,
2022-07-21 00:00:00,258.762451171875,
2022-07-22 00:00:00,254.38519287109375,
2022-07-25 00:00:00,252.8903045654297,
2022-07-26 00:00:00,246.11935424804688,
2022-07-27 00:00:00,262.57293701171875,
2022-07-28 00:00:00,270.06689453125,
2022-07-29 00:00:00,274.2975158691406,
2022-08-01 00:00:00,271.6302185058594,
2022-08-02 00:00:00,268.51336669921875,
2022-08-03 00:00:00,275.98779296875,
2022-08-04 00:00:00,277.1407165527344,
2022-08-05 00:00:00,276.41778564453125,
2022-08-08 00:00:00,273.88714599609375,
2022-08-09 00:00:00,275.82171630859375,
2022-08-10 00:00:00,282.5242614746094,
2022-08-11 00:00:00,280.433349609375,
2022-08-12 00:00:00,285.2112121582031,
2022-08-15 00:00:00,286.73541259765625,
2022-08-16 00:00:00,285.99285888671875,
2022-08-17 00:00:00,285.23895263671875,
2022-08-18 00:00:00,284.1129150390625,
2022-08-19 00:00:00,280.1767883300781,
2022-08-22 00:00:00,271.9521789550781,
2022-08-23 00:00:00,270.6695251464844,
2022-08-24 00:00:00,270.0330810546875,
2022-08-25 00:00:00,273.02923583984375,
2022-08-26 00:00:00,262.49383544921875,
2022-08-29 00:00:00,259.6935729980469,
2022-08-30 00:00:00,257.480712890625,
2022-08-31 00:00:00,256.0119934082031,
2022-09-01 00:00:00,254.96435546875,
2022-09-02 00:00:00,250.71493530273438,
2022-09-06 00:00:00,247.96360778808594,
2022-09-07 00:00:00,252.70254516601562,
2022-09-08 00:00:00,253.1235809326172,
2022-09-09 00:00:00,258.9395751953125,
2022-09-12 00:00:00,261.0838623046875,
