,Actual,Prophet Forecast
0,332.638671875,303.9877468028686
1,330.0804138183594,304.0355383070054
2,327.16204833984375,304.1537257105016
3,325.6347351074219,304.1952736744367
4,320.0511169433594,304.3031861920711
5,307.7650451660156,304.36083589875307
6,305.33306884765625,304.4570924489006
7,305.48870849609375,304.6391994709994
8,305.71240234375,304.9547114356649
9,306.40313720703125,305.17649191616266
10,309.603515625,305.3563041191782
11,296.50030517578125,305.5809858439172
12,301.7532958984375,305.895649034593
13,294.4088439941406,306.9609901599664
14,295.0703125,307.2618272887765
15,293.3874816894531,307.59936875562414
16,287.9691467285156,308.0171465017757
17,288.2998352050781,308.97178381493876
18,280.6344299316406,309.37398373209385
19,288.630615234375,309.71378913402214
20,291.6753845214844,310.0761772972682
21,299.8661193847656,310.5048386372326
22,302.5120544433594,311.4132178610509
23,300.3525085449219,311.77624606877697
24,304.92449951171875,312.06664399835716
25,293.0469665527344,312.37052746813816
26,297.6092529296875,312.73278360767307
27,292.7551574707031,313.40673534625734
28,296.266845703125,313.68382407111596
29,302.73577880859375,313.88620676670627
30,294.1462097167969,314.1009631071773
31,287.0060729980469,314.37383771149337
32,286.9672546386719,314.78495650374265
33,292.2882385253906,314.97789973237474
34,291.9470520019531,315.09844170519256
35,283.3982238769531,315.2338605153304
36,280.6688232421875,315.43002203399516
37,280.4641418457031,315.75417894797084
38,273.2019958496094,315.8114875679686
39,287.1608581542969,315.8864070676203
40,289.8122863769531,316.0248848994741
41,291.2549743652344,316.0675971976869
42,287.5118103027344,316.1502627802858
43,292.6197204589844,316.16743427795353
44,288.4573669433594,316.2069153591551
45,282.5502014160156,316.3152004236024
46,271.8763427734375,316.3048677404732
47,268.89349365234375,316.3844628683281
48,281.22442626953125,316.40689243706777
49,278.38787841796875,316.46051393471924
50,273.0069885253906,316.5923058874256
51,269.4685974121094,316.71206750372784
52,279.9085388183594,316.8553971361197
53,286.9659423828125,316.9516448449783
54,287.77496337890625,317.08887136012584
55,292.8536376953125,317.31359330139867
56,291.6156311035156,317.76101892356786
57,296.39202880859375,318.0267280938506
58,291.93731689453125,318.2500208708252
59,296.43109130859375,318.51763577926226
60,296.0216369628906,318.8746797127263
61,302.8646545410156,319.71577165013207
62,307.455810546875,320.1065506344666
63,305.94488525390625,320.4493622757356
64,300.5348815917969,320.829546784717
65,301.61688232421875,321.29090561682114
66,307.0269470214844,322.3842111554591
67,303.0400695800781,322.8358277002488
68,291.9470520019531,323.22678583902587
69,293.7699279785156,323.64205284049456
70,289.4808654785156,324.12524408646357
71,278.0662536621094,325.20544523787675
72,274.94683837890625,325.6276655007441
73,280.3666687011719,325.9776976766616
