Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.254047393798828,23.366748464957812,22.98356367655976,23.006104464020307,38409100
2010-01-05,23.261566162109375,23.366755100390442,23.02113675987656,23.178919450762017,49749600
2010-01-06,23.11881446838379,23.35173029652157,22.93097879951438,23.201461188197076,58182400
2010-01-07,22.87838363647461,23.066219293808317,22.683034380878873,23.013624105974117,50559700
2010-01-08,23.036163330078125,23.201458181355395,22.7205993899508,22.750653780949705,51197400
2010-01-11,22.74314308166504,23.111300819887514,22.630441967200596,23.073732826351083,68754700
2010-01-12,22.592870712280273,22.840813701539318,22.472656016462082,22.65297806018937,65912100
2010-01-13,22.803247451782227,22.930975746933075,22.547790861480532,22.735626505345177,51863500
2010-01-14,23.261566162109375,23.366755100390442,22.735627202993154,22.773193759689928,63228100
2010-01-15,23.186437606811523,23.471947219821708,23.073735048421064,23.35173249507294,79913200
2010-01-19,23.36675262451172,23.47194011857512,23.051188709249384,23.103782456281085,46575700
2010-01-20,22.98356056213379,23.24653064791847,22.77318420689171,23.148855348563632,54849500
2010-01-21,22.54779815673828,23.081250870035873,22.540284556584027,22.9986041344845,73086700
2010-01-22,21.758878707885742,22.690544694498293,21.668718407937515,22.540275617155075,102004600
2010-01-25,22.029359817504883,22.28481635834132,21.864064998816815,21.969252480429954,63373000
2010-01-26,22.164600372314453,22.427570493854592,21.856550108904308,21.939198229892547,66639900
2010-01-27,22.29233741760254,22.405038533213933,21.8039649612382,22.051907988812246,63949500
2010-01-28,21.909143447875977,22.442597277071634,21.706280663545012,22.420056490010914,117513700
2010-01-29,21.17283058166504,22.480166279573258,20.782132161672603,22.465139086556935,193888500
2010-02-01,21.345643997192383,21.398237751984887,20.977486280572514,21.33061680065957,85931100
2010-02-02,21.38319969177246,21.413254069569035,21.142770401686303,21.31558020787339,54413700
2010-02-03,21.510936737060547,21.631152864387353,21.127753294794108,21.232940793998843,61397900
2010-02-04,20.917377471923828,21.413263458420417,20.89483667869317,21.32310171857002,77850000
2010-02-05,21.05262565612793,21.247974956618048,20.714520821996448,21.037598456150384,80960100
2010-02-08,20.827220916748047,21.09770477056055,20.714519788683702,21.045111006335365,52820600
2010-02-09,21.045106887817383,21.293049894265646,20.84975763530173,21.015052495243136,59195800
2010-02-10,21.030075073242188,21.217910686364828,20.917373991983002,21.06012945921637,48591300
2010-02-11,21.12775230407715,21.338127292621767,20.812188388188094,20.98499682394178,65993700
2010-02-12,20.98499298095703,21.082666860169695,20.722022860361886,20.894831264469147,81117200
2010-02-16,21.400163650512695,21.415261113068905,21.151061277428347,21.234094441940947,51935600
2010-02-17,21.581327438354492,21.626618383220464,21.40771094989062,21.536036493488524,45882900
2010-02-18,21.868181228637695,21.91347363237242,21.520948105314204,21.581336537186715,42856500
2010-02-19,21.717201232910156,21.830429312460037,21.656812827832013,21.73229869412298,44451800
2010-02-22,21.687015533447266,21.84553606405056,21.626627102687383,21.770050165657263,36707100
2010-02-23,21.385072708129883,21.76250074847088,21.20390742153905,21.649272624323324,52266200
2010-02-24,21.611528396606445,21.732306690978778,21.42281438132434,21.52849520892842,43165900
2010-02-25,21.588878631591797,21.626620849989518,21.15106227522086,21.33977624675615,48735300
2010-02-26,21.641725540161133,21.777599875403308,21.52094867322894,21.626628071851155,40370600
2010-03-01,21.905920028686523,21.928564785746126,21.536040785720573,21.717206041064703,43805400
2010-03-02,21.483196258544922,22.117275271748365,21.31712849404811,21.951207507251556,93123900
2010-03-03,21.483196258544922,21.596425785010226,21.400163096183135,21.52093991395777,48442100
2010-03-04,21.611528396606445,21.6266258633747,21.339781193646314,21.483202808623666,42890600
2010-03-05,21.581327438354492,21.649264575540037,21.453001894756593,21.634167113993655,56001800
2010-03-08,21.611528396606445,21.83798607880918,21.51339774216017,21.52849520892842,39414500
2010-03-09,21.739852905273438,21.97385930924261,21.551138899360392,21.558687632369747,50271600
2010-03-10,21.868181228637695,21.97386206424493,21.739855630936887,21.785148034671607,44891400
2010-03-11,22.02669906616211,22.034247799193956,21.777596635205644,21.807790127559418,35349700
2010-03-12,22.094635009765625,22.177668189006752,21.921018478892734,22.132377233077634,31700200
2010-03-15,22.10972785949707,22.170116268054056,21.898367709661,22.02669325781625,37512000
2010-03-16,22.170120239257812,22.260702148432085,22.041794668116353,22.207862461451512,36723500
2010-03-17,22.36638069152832,22.54754738269387,22.19276417224922,22.26825005360596,50385700
2010-03-18,22.351289749145508,22.4343229417213,22.268255116795952,22.36638577703053,43845200
2010-03-19,22.336181640625,22.570186518762192,22.1550164343472,22.464507175043412,81332100
2010-03-22,22.343740463256836,22.419226359911924,22.185219936303774,22.268254566601744,37718200
2010-03-23,22.555095672607422,22.570193137501192,22.200313886244803,22.33618819074174,42026600
2010-03-24,22.381481170654297,22.53245295370445,22.343738944778572,22.43432086278976,33987700
2010-03-25,22.653234481811523,23.07595354595445,22.49471393289922,22.517360136964957,73168700
2010-03-26,22.389028549194336,22.79665147490341,22.3361888602558,22.713616855272257,55595500
2010-03-29,22.336181640625,22.509798116669593,22.305986719692164,22.426763523877362,33336000
2010-03-30,22.472063064575195,22.540000218544872,22.26825160266616,22.366382247414844,34954800
2010-03-31,22.10972785949707,22.43431465563261,22.019144526774973,22.37392624707562,63760000
2010-04-01,22.011594772338867,22.29844077947802,21.60397339347423,22.155017775908444,74768100
2010-04-05,22.094635009765625,22.21541185209229,21.913469746275627,21.988954192899644,34331200
2010-04-06,22.132375717163086,22.328638432444663,21.875724584854368,22.004050151008727,47366800
2010-04-07,22.155025482177734,22.31354456249308,21.996504962088725,22.011602428720757,58318800
2010-04-08,22.585290908813477,22.63058186433576,22.117279569171483,22.132377034270085,63713800
2010-04-09,22.902328491210938,22.95516817470092,22.57019148670811,22.60793514618195,54752500
2010-04-12,22.887231826782227,23.0155573939284,22.8041972128131,22.83439214144676,37068800
2010-04-13,22.985366821289062,23.023109047096163,22.74381168089329,22.758909147125582,41374600
2010-04-14,23.264665603637695,23.400539936860696,23.14388873850032,23.242020841283065,68941200
2010-04-15,23.302413940429688,23.362802385091857,23.18163561133125,23.26467026265702,52745400
2010-04-16,23.151439666748047,23.38544468515809,23.098599963214223,23.242023044073125,88703100
2010-04-19,23.430736541748047,23.589255648615268,23.21937629281785,23.226925027398277,64970300
2010-04-20,23.672285079956055,23.732673503536613,23.498667102360063,23.56660425885989,52199500
2010-04-21,23.64963722229004,23.777962793369003,23.57415133816592,23.64963722229004,55343100
2010-04-22,23.694927215576172,23.80060802497198,23.325047982124428,23.430728791520234,84847600
2010-04-23,23.370344161987305,23.838355577429255,23.136339174153207,23.491122462564057,126766600
2010-04-26,23.483572006225586,23.61189759138756,23.294857995091725,23.400537380599122,63649300
2010-04-27,23.287307739257812,23.589249849375104,23.211821851785103,23.362793626730525,68730900
2010-04-28,23.332609176635742,23.400546361900616,23.113701588384416,23.340157912751195,64557900
2010-04-29,23.400537490844727,23.725125821887968,23.15143505256539,23.347697797842084,52665200
2010-04-30,23.05330467224121,23.460926194345443,23.03820720555529,23.453377461002482,63214800
